PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Schulman, R; Doty, D				Schulman, Rebecca; Doty, David			Designing ordered nucleic acid self-assembly processes	CURRENT OPINION IN STRUCTURAL BIOLOGY			English	Article							NANOSCALE SHAPES; DNA; INFORMATION	A major goal of self-assembly research is the synthesis of biomolecular structures with diverse, intricate features across multiple length scales. Designing self-assembly processes becomes more difficult as the number of species or target structure size increases. Just as the ordered assembly of a machine or device makes complex manufacturing possible, ordered (or 'algorithmic') biomolecular self-assembly processes could enable the self-assembly of more complex structures. We discuss the design of ordered assembly processes with particular attention to DNA and RNA. The assembly of complexes can be ordered using selective, multivalent interactions or active components that change shape after assembly. The self-assembly of spatial gradients driven by reaction-diffusion can also be ordered. We conclude by considering topics for future research.	[Schulman, Rebecca] Johns Hopkins Univ, Baltimore, MD 21218 USA; [Doty, David] CALTECH, Pasadena, CA 91125 USA	Schulman, R (corresponding author), Johns Hopkins Univ, 3400 North Charles St, Baltimore, MD 21218 USA.	rschulm3@jhu.edu	Doty, David/B-3203-2017	Doty, David/0000-0002-3922-172X	Turing Centenary Fellowship [DE-SC010595]; NSFNational Science Foundation (NSF) [CCF-1219274, CCF-1162589]; Molecular Programming Project under NSF [1317694];  [NSF-CCF-1161941]	R.S. acknowledges grants NSF-CCF-1161941, a Turing Centenary Fellowship for support and DE-SC010595 for salary support in writing this article. D.D. acknowledges NSF grants CCF-1219274 and CCF-1162589 and the Molecular Programming Project under NSF Grant 1317694.		53	2	2	0	33	CURRENT BIOLOGY LTD	LONDON	84 THEOBALDS RD, LONDON WC1X 8RR, ENGLAND	0959-440X	1879-033X		CURR OPIN STRUC BIOL	Curr. Opin. Struct. Biol.	APR	2015	31						57	63		10.1016/j.sbi.2015.03.003			7	Biochemistry & Molecular Biology; Cell Biology	Biochemistry & Molecular Biology; Cell Biology	CM5DC	WOS:000357706000010	25827396				2020-09-15	
J	Nie, SY; Bronner, ME				Nie, Shuyi; Bronner, Marianne E.			Dual developmental role of transcriptional regulator Ets1 in Xenopus cardiac neural crest vs. heart mesoderm	CARDIOVASCULAR RESEARCH			English	Article						Ets1; Cardiac neural crest; Heart mesoderm; Aortic arch artery; Endocardium	DIGEORGE-SYNDROME; OUTFLOW TRACT; N-CADHERIN; BOX GENE; MIGRATION; CELLS; EXPRESSION; DEFECTS; TBX5; VASCULOGENESIS	Aims Ets1 is an important transcription factor that is expressed in both the cardiac neural crest (NC) and heart mesoderm of vertebrate embryos. Moreover, Ets1 deletion in humans results in congenital heart abnormalities. To clarify the functional contributions of Ets1 in cardiac NC vs. heart mesoderm, we performed tissue-targeted loss-of-function analysis to compare the relative roles of Ets1 in these two tissues during heart formation using Xenopus embryos as a model system. Methods and results We confirmed by in situ hybridization analysis that Ets1 is expressed in NC and heart mesoderm during embryogenesis. Using a translation-blocking antisense morpholino to knockdown Ets1 protein selectively in the NC, we observed defects in NC delamination from the neural tube, collective cell migration, as well as segregation of NC streams in the cranial and cardiac regions. Many cardiac NC cells failed to reach their destination in the heart, resulting in defective aortic arch artery formation. A different set of defects was noted when Ets1 knockdown was targeted to heart mesoderm. The formation of the primitive heart tube was dramatically delayed and the endocardial tissue appeared depleted. As a result, the conformation of the heart was severely disrupted. In addition, the outflow tract septum was missing, and trabeculae formation in the ventricle was abolished. Conclusion Our study shows that Ets1 is required in both the cardiac NC and heart mesoderm, albeit for different aspects of heart formation. Our results reinforce the suggestion that proper interaction between these tissues is critical for normal heart development.	[Nie, Shuyi; Bronner, Marianne E.] CALTECH, Div Biol, Pasadena, CA 91125 USA	Nie, SY (corresponding author), Georgia Inst Technol, Sch Biol, 310 Ferst Dr, Atlanta, GA 30332 USA.	shuyi.nie@biology.gatech.edu; mbronner@caltech.edu		Bronner, Marianne/0000-0003-4274-1862	American Heart AssociationAmerican Heart Association [12POST8610001]; National Institutes of HealthUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA [1K99DE022796, R01HD03 7105]	This work was supported by American Heart Association postdoctoral fellowship (12POST8610001) and National Institutes of Health career grant (1K99DE022796) to S.N., and National Institutes of Health (R01HD03 7105) to M.E.B.		61	16	16	0	7	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	0008-6363	1755-3245		CARDIOVASC RES	Cardiovasc. Res.	APR 1	2015	106	1					67	75		10.1093/cvr/cvv043			9	Cardiac & Cardiovascular Systems	Cardiovascular System & Cardiology	CK4GP	WOS:000356182400012	25691536	Bronze, Green Published			2020-09-15	
J	Anderson, JD; Schubert, G; Trimble, V; Feldman, MR				Anderson, J. D.; Schubert, G.; Trimble, V.; Feldman, M. R.			Measurements of Newton's gravitational constant and the length of day	EPL			English	Article							SOLAR-ACTIVITY	About a dozen measurements of Newton's gravitational constant, G, since 1962 have yielded values that differ by far more than their reported random plus systematic errors. We find that these values for G are oscillatory in nature, with a period of P = 5.899 +/- 0.062 yr, an amplitude of (1.619 +/- 0.103) x 10(-14) m(3) kg(-1) s(-2), and mean-value crossings in 1994 and 1997. However, we do not suggest that G is actually varying by this much, this quickly, but instead that something in the measurement process varies. Of other recently reported results, to the best of our knowledge, the only measurement with the same period and phase is the Length of Day (LOD-defined as a frequency measurement such that a positive increase in LOD values means slower Earth rotation rates and therefore longer days). The aforementioned period is also about half of a solar activity cycle, but the correlation is far less convincing. The 5.9 year periodic signal in LOD has previously been interpreted as due to fluid core motions and inner-core coupling. We report the G/LOD correlation, whose statistical significance is 0.99764 assuming no difference in phase, without claiming to have any satisfactory explanation for it. Least unlikely, perhaps, are currents in the Earth's fluid core that change both its moment of inertia (affecting LOD) and the circumstances in which the Earth-based experiments measure G. In this case, there might be correlations with terrestrial-magnetic-field measurements. Copyright (C) EPLA, 2015	[Anderson, J. D.] CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA; [Schubert, G.] Univ Calif Los Angeles, Dept Earth Planetary & Space Sci, Los Angeles, CA 90095 USA; [Trimble, V.] Univ Calif Irvine, Dept Phys & Astron, Irvine, CA 92697 USA				Feldman, Michael/0000-0003-1567-9725				18	23	23	0	12	IOP PUBLISHING LTD	BRISTOL	TEMPLE CIRCUS, TEMPLE WAY, BRISTOL BS1 6BE, ENGLAND	0295-5075	1286-4854		EPL-EUROPHYS LETT	EPL	APR	2015	110	1							10002	10.1209/0295-5075/110/10002			5	Physics, Multidisciplinary	Physics	CJ6ET	WOS:000355587200002					2020-09-15	
J	Tourville, N; Stephens, G; DeMaria, M; Vane, D				Tourville, Natalie; Stephens, Graeme; DeMaria, Mark; Vane, Deborah			Remote Sensing of Tropical Cyclones: Observations from CloudSat and A-Train Profilers	BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY			English	Article							VERTICAL WIND SHEAR; INTENSITY; MOTION; EVOLUTION	CloudSat (CS) heralded a new era of profiling the planet's cloud systems and storms with its launch in 2006. This satellite flies the first 94-GHz spaceborne Cloud Profiling Radar, and the data collected have provided a unique perspective on Earth's cloudiness and processes that affect clouds. CS flies in formation with the afternoon satellite constellation, a collection of active and passive satellite sensors offering near-simultaneous observations of the same cloud phenomena. While passes of the nadir-pointing Cloud Profiling Radar (CPR) antenna occur infrequently over tropical cyclones, they happen enough to provide a detailed compilation of the inner structure of clouds and precipitation of these complex storm systems. Nearly 8,000 vertical profiles of TCs have been collected during the period June 2006-December 2013 and observations continue as CS flies in daylight-only mode. These observations have been assembled into a one-of-a-kind dataset of three-dimensional features revealing precipitation areas, moats, and multilayered clouds. Each unique overpass profiled by CS has been compiled with corresponding A-Train sensors, model data, and storm-specific best-track information. The multisensor components of the CS and A-Train TC dataset together with these other data are summarized and cataloged as a function of radial distance from storm center. Example imagery is provided along with stratified reflectivity profiles detailing changes in storm structures across varying environmental shear conditions. The data reported on in this paper offer an unprecedented view of these major storm types and their inner structure.	[Tourville, Natalie] Colorado State Univ, Cooperat Inst Res Atmosphere, Ft Collins, CO 80523 USA; [Stephens, Graeme; Vane, Deborah] CALTECH, Jet Prop Lab, Pasadena, CA USA; [DeMaria, Mark] Natl Hurricane Ctr, Technol & Sci Branch, Miami, FL USA	Tourville, N (corresponding author), Colorado State Univ, Cooperat Inst Res Atmosphere, 1375 Campus Delivery, Ft Collins, CO 80523 USA.	natalie.tourville@colostate.edu			NASA JPLNational Aeronautics & Space Administration (NASA) [1439268]	We would like to acknowledge the Satellite Meteorological Applications Section at the Naval Research Laboratory for its assistance in creating the TC composites and the CS DPC for supplying the data used throughout this study. Special thanks to Cristian Mistrescu, Kim Richardson, and Steve Miller for their assistance on this project. Special thanks to John Knaff and two anonymous reviewers for their thoughtful and helpful feedback. This project is funded under NASA JPL Contract 1439268.		41	10	13	0	19	AMER METEOROLOGICAL SOC	BOSTON	45 BEACON ST, BOSTON, MA 02108-3693 USA	0003-0007	1520-0477		B AM METEOROL SOC	Bull. Amer. Meteorol. Soc.	APR	2015	96	4					609	622		10.1175/BAMS-D-13-00282.1			14	Meteorology & Atmospheric Sciences	Meteorology & Atmospheric Sciences	CJ3VS	WOS:000355412900001					2020-09-15	
J	Liu, GP; England, SL; Immel, TJ; Frey, HU; Mannucci, AJ; Mitchell, NJ				Liu, Guiping; England, Scott L.; Immel, Thomas J.; Frey, Harald U.; Mannucci, Anthony J.; Mitchell, Nicholas J.			A comprehensive survey of atmospheric quasi 3day planetary-scale waves and their impacts on the day-to-day variations of the equatorial ionosphere	JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS			English	Article						ultra fast Kelvin wave; planetary wave; equatorial ionosphere; TEC perturbation; atmosphere-ionosphere coupling; day to day variation	KELVIN WAVES; MESOSPHERE; EXCITATION; RADAR	This study reports a comprehensive survey of quasi 3day (2.5-4.5day period) planetary-scale waves in the low-latitude mesosphere and lower thermosphere using the temperature observations from Thermosphere Ionosphere and Mesosphere Electric Dynamics/Sounding of the Atmosphere using Broadband Emission Radiometry throughout 2002-2012. Occurrences and properties of the waves, including the eastward propagating zonal wave numbers of 1-3 (E1-E3) and vertical wavelengths, are determined for each case. The impacts of these waves on the equatorial ionosphere are investigated by searching for the corresponding variations with the same periods and wave numbers in total electron content (TEC) from the concurrent observations of the ground-based GPS network. For a threshold amplitude of 4K in temperature, a total of 300 waves are identified, of which there are 186 E1, 63 E2, and 51 E3 events. The mean amplitudes and vertical wavelengths of these waves are calculated to be about 7.9K and 34km for the E1, 5.7K and 29km for the E2, and 5.1K and 27km for the E3, having the standard deviations of 1.5K and 6.5km, 0.6K and 5.6km, and 0.5K and 6.7km. Occurrences of the E1 cases are not observed to depend on season, but the large-amplitude (>8K) cases occur more often during solstices than at equinoxes. Similarly, the E2 and E3 cases are observed to occur most often in January-February and May-August. Among these waves, 199 cases (66%) are found to have the corresponding variations in the equatorial ionosphere with amplitudes 4.2% relative to the mean TEC values (corresponding to 90th percentile). Most of these waves have long vertical wavelengths and large amplitudes (approximate to 3 times more than short vertical wavelength and small-amplitude waves). Because no seasonal or solar cycle dependence on the frequency at which these waves have corresponding variations in the ionosphere at this TEC perturbation threshold is observed, we conclude that there is no seasonal and solar cycle dependence on the propagation of such waves from the mesopause region to higher altitudes. We also identify that only 28 cases (19%) of the E1 TEC variations do not correspond to any E1 waves, which is consistent with the hypothesis that E1 waves are the primary cause of E1 TEC variations. Conditions that are favorable for 3day waves to create ionospheric variations are present approximately two thirds of the time. This study quantifies the importance and frequency of atmospheric quasi 3day planetary-scale waves on the day-to-day variations of the equatorial ionosphere using a statistical rather than case study approach.	[Liu, Guiping; England, Scott L.; Immel, Thomas J.; Frey, Harald U.] Univ Calif Berkeley, Space Sci Lab, Berkeley, CA 94720 USA; [Mannucci, Anthony J.] CALTECH, Jet Prop Lab, Pasadena, CA USA; [Mitchell, Nicholas J.] Univ Bath, Dept Elect & Elect Engn, Ctr Space Atmospher & Ocean Sci, Bath BA2 7AY, Avon, England	Liu, GP (corresponding author), Univ Calif Berkeley, Space Sci Lab, Berkeley, CA 94720 USA.	guiping@ssl.berkeley.edu	Mannucci, Anthony J/A-1349-2007	Mannucci, Anthony J/0000-0003-2391-8490; England, Scott/0000-0001-5336-0040; Frey, Harald/0000-0001-8955-3282	National Aeronautics and Space Administration (NASA) Heliophysics Research program [NNX12AD48G]; NASANational Aeronautics & Space Administration (NASA)	This research work was supported by the National Aeronautics and Space Administration (NASA) Heliophysics Research program through Award NNX12AD48G. Portions of this research were carried out at the Jet Propulsion Laboratory, California Institute of Technology, under a contract with NASA. The SABER data were obtained from GATS Incorporated at http://saber.gats-inc.com, and the TEC maps were obtained from NASA's Space Physics Data Facility at http://cdaweb.gsfc.nasa.gov. The TIDI data were obtained from http://tidi.engin.umich.edu.		29	8	8	0	30	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	2169-9380	2169-9402		J GEOPHYS RES-SPACE	J. Geophys. Res-Space Phys.	APR	2015	120	4					2979	2992		10.1002/2014JA020805			14	Astronomy & Astrophysics	Astronomy & Astrophysics	CI6TL	WOS:000354894800044		Green Accepted			2020-09-15	
J	Lee, SW; O'Doherty, JP; Shimojo, S				Lee, Sang Wan; O'Doherty, John P.; Shimojo, Shinsuke			Neural Computations Mediating One-Shot Learning in the Human Brain	PLOS BIOLOGY			English	Article							VENTROLATERAL PREFRONTAL CORTEX; LONG-TERM-MEMORY; RECOGNITION MEMORY; LATENT INHIBITION; COGNITIVE CONTROL; EPISODIC MEMORY; TEMPORAL-LOBE; DECLARATIVE MEMORY; FREE-RECALL; RETRIEVAL	Incremental learning, in which new knowledge is acquired gradually through trial and error, can be distinguished from one-shot learning, in which the brain learns rapidly from only a single pairing of a stimulus and a consequence. Very little is known about how the brain transitions between these two fundamentally different forms of learning. Here we test a computational hypothesis that uncertainty about the causal relationship between a stimulus and an outcome induces rapid changes in the rate of learning, which in turn mediates the transition between incremental and one-shot learning. By using a novel behavioral task in combination with functional magnetic resonance imaging (fMRI) data from human volunteers, we found evidence implicating the ventrolateral prefrontal cortex and hippocampus in this process. The hippocampus was selectively "switched" on when one-shot learning was predicted to occur, while the ventrolateral prefrontal cortex was found to encode uncertainty about the causal association, exhibiting increased coupling with the hippocampus for high-learning rates, suggesting this region may act as a "switch," turning on and off one-shot learning as required.	[Lee, Sang Wan; O'Doherty, John P.; Shimojo, Shinsuke] CALTECH, Computat & Neural Syst, Pasadena, CA 91125 USA; [Lee, Sang Wan; O'Doherty, John P.; Shimojo, Shinsuke] CALTECH, Behav & Social Neurosci, Pasadena, CA 91125 USA; [Lee, Sang Wan; O'Doherty, John P.] CALTECH, Div Humanities & Social Sci, Pasadena, CA 91125 USA; [Shimojo, Shinsuke] CALTECH, Div Biol & Biol Engn, Pasadena, CA 91125 USA	Lee, SW (corresponding author), CALTECH, Computat & Neural Syst, MC228-77, Pasadena, CA 91125 USA.	swlee@caltech.edu	O'Doherty, John P/F-1204-2013; Lee, Sang Wan/B-9008-2016	Lee, Sang Wan/0000-0001-6266-9613	NIH - OppNet, NIH's Basic Behavioral and Social Science Opportunity Network) [DA033077-01]; Gordon and Betty foundation; JST-CRESTJapan Science & Technology Agency (JST)Core Research for Evolutional Science and Technology (CREST); Caltech-Tamagawa gCOE	This work was funded by NIH grant DA033077-01 (supported by OppNet, NIH's Basic Behavioral and Social Science Opportunity Network; http://oppnet.nih.gov/index.asp) to JPOD, by funds from the Gordon and Betty foundation (http://www.moore.org/) to JPOD, by grants from JST-CREST (http://www.jst.go.jp/kisoken/crest/en/) to SS, and by the Caltech-Tamagawa gCOE (http://gcoe.tamagawa.ac.jp/index-e.html) to SS and JPOD. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		79	22	22	1	18	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1544-9173	1545-7885		PLOS BIOL	PLoS. Biol.	APR	2015	13	4							e1002137	10.1371/journal.pbio.1002137			36	Biochemistry & Molecular Biology; Biology	Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics	CI5UE	WOS:000354824500030	25919291	DOAJ Gold, Green Published			2020-09-15	
J	Singh, RS; Reager, JT; Miller, NL; Famiglietti, JS				Singh, R. S.; Reager, J. T.; Miller, N. L.; Famiglietti, J. S.			Toward hyper-resolution land-surface modeling: The effects of fine-scale topography and soil texture on CLM4.0 simulations over the Southwestern US	WATER RESOURCES RESEARCH			English	Article						hyper-resolution modeling; CLM4; 0	DIGITAL ELEVATION MODEL; ASSIMILATION SYSTEM NLDAS; REGIONAL-CLIMATE MODEL; SPATIAL VARIABILITY; HYDROLOGIC-RESPONSE; RICHARDS EQUATION; GRID SIZE; MOISTURE; WATER; SENSITIVITY	Increasing computational efficiency and the need for improved accuracy are currently driving the development of hyper-resolution land-surface models that can be implemented at continental scales with resolutions of 1 km or finer. Here we report research incorporating fine-scale grid resolutions into the NCAR Community Land Model (CLM v4.0) for simulations at 1, 25, and 100 km resolution using 1 km soil and topographic information. Multiyear model runs were performed over the Southwestern U.S., including the entire state of California and the Colorado River basin. The results show changes in the total amount of CLM-modeled water storage, and changes in the spatial and temporal distributions of water in snow and soil reservoirs, as well as changes in surface fluxes and the energy balance. To inform future model progress and continued development needs and weaknesses, we compare simulation outputs to station and gridded observations of model fields. Although the higher grid-resolution model is not driven by high-resolution forcing, grid resolution changes alone yield significant improvement (reduction in error) between model outputs and observations, where the RMSE decreases by more than 35%, 36%, 34%, and 12% for soil moisture, terrestrial water storage anomaly, sensible heat, and snow water equivalent, respectively. As an additional exercise, we performed a 100 m resolution simulation over a spatial subdomain. Those results indicate that parameters such as drainage, runoff, and infiltration are significantly impacted when hillslope scales of approximate to 100 m or finer are considered, and we show the ways in which limitations of the current model physics, including no lateral flow between grid cells, may affect model simulation accuracy.	[Singh, R. S.; Miller, N. L.] Univ Calif Berkeley, Dept Geog, Berkeley, CA 94720 USA; [Singh, R. S.; Reager, J. T.; Miller, N. L.; Famiglietti, J. S.] Univ Calif Irvine, UC Ctr Hydrol Modeling, Irvine, CA USA; [Reager, J. T.; Famiglietti, J. S.] CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA; [Famiglietti, J. S.] Univ Calif Irvine, Dept Earth Syst Sci, Irvine, CA USA	Singh, RS (corresponding author), Univ Calif Berkeley, Dept Geog, Berkeley, CA 94720 USA.	rajshekharsingh@berkeley.edu	Famiglietti, James S/G-7383-2017	Famiglietti, James S/0000-0002-6053-5379	NSFNational Science Foundation (NSF) [DEB-1115069]; University of California Office of the President, Multi-Campus Research Programs and Initiatives UCCHM	Partial support for this project was provided by NSF grant DEB-1115069 for R.S. and N.L.M. and the University of California Office of the President, Multi-Campus Research Programs and Initiatives UCCHM for R.S., N.L.M., J.T.R., and J.S.F. A portion of this research was conducted at the Jet Propulsion Laboratory, California Institute of Technology, under a contract with the National Aeronautics and Space Administration. GRACE data are available at grace. jpl.nasa.gov; FLUXNET data from fluxnet.ornl.gov; SNODAS data from nsidc.org; well observations from water.ca.gov. C.L.M. land surface data sets are available at www.cesm.ucar.edu.		66	23	24	1	25	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	0043-1397	1944-7973		WATER RESOUR RES	Water Resour. Res.	APR	2015	51	4					2648	2667		10.1002/2014WR015686			20	Environmental Sciences; Limnology; Water Resources	Environmental Sciences & Ecology; Marine & Freshwater Biology; Water Resources	CI4PH	WOS:000354733500043		Green Published			2020-09-15	
J	Hooshmand, A; Horner-Devine, AR; Lamb, MP				Hooshmand, Abbas; Horner-Devine, Alexander R.; Lamb, Michael P.			Structure of turbulence and sediment stratification in wave-supported mud layers	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS			English	Article						wave boundary layer; fluid mud; stratified flows; sediment transport; turbulent kinetic energy; laboratory experiments	BOTTOM BOUNDARY-LAYER; CONTINENTAL-SHELF; GRAVITY FLOWS; BED ROUGHNESS; SAND RIPPLES; TRANSPORT; RIVER; DENSITY; SUSPENSION; STRESS	We present results from laboratory experiments in a wave flume with and without a sediment bed to investigate the turbulent structure and sediment dynamics of wave-supported mud layers. The presence of sediment on the bed significantly alters the structure of the wave boundary layer relative to that observed in the absence of sediment, increasing the TKE by more than a factor of 3 at low wave orbital velocities and suppressing it at the highest velocities. The transition between the low and high-velocity regimes occurs when Re similar or equal to 450, where Re is the Stokes Reynolds number. In the low-velocity regime ( Re<450) the flow is significantly influenced by the formation of ripples, which enhances the TKE and Reynolds stress and increases the wave boundary layer thickness. In the high-velocity regime ( Re>450) the ripples are significantly smaller, the near-bed sediment concentrations are significantly higher and density stratification due to sediment becomes important. In this regime the TKE and Reynolds stress are lower in the sediment bed runs than in comparable runs with no sediment. The regime transition at Re=450 appears to result from washout of the ripples and increased concentrations of fine sand suspended in the boundary layer, which increases the settling flux and the stratification near the bed. The increased stratification damps turbulence, especially near the top of the high-concentration layer, reducing the layer thickness. We anticipate that these effects will influence the transport capacity of wave-supported gravity currents on the continental shelf.	[Hooshmand, Abbas; Horner-Devine, Alexander R.] Univ Washington, Dept Civil & Environm Engn, Seattle, WA 98195 USA; [Lamb, Michael P.] CALTECH, Div Geol & Planetary Sci, Pasadena, CA 91125 USA	Horner-Devine, AR (corresponding author), Univ Washington, Dept Civil & Environm Engn, Seattle, WA 98195 USA.	arhd@uw.edu		Horner-Devine, Alexander/0000-0003-2323-7150	National Science FoundationNational Science Foundation (NSF) [OCE-000488762]	We would like to thank Chris Chickadel, Jim Riley, JPaul Rinehimer, Charles Nittrouer, and Andrea Ogston for support and helpful discussions, Peter Rusello and Judah Goldberg from Nortek for their technical support, and Jeffrey Parsons for initiating the work more than a decade ago and for his support during the project. This research was funded by the National Science Foundation (OCE-000488762). Data from this paper are available upon request. Please contact Alexander Horner-Devine (arhd@uw.edu).		65	12	12	0	25	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	2169-9275	2169-9291		J GEOPHYS RES-OCEANS	J. Geophys. Res.-Oceans	APR	2015	120	4					2430	2448		10.1002/2014JC010231			19	Oceanography	Oceanography	CI0HH	WOS:000354417200002		Green Accepted			2020-09-15	
J	Susanto, RD; Song, YT				Susanto, R. Dwi; Song, Y. Tony			Indonesian throughflow proxy from satellite altimeters and gravimeters	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS			English	Article						Indonesian throughflow; sea level; ocean bottom pressure; throughflow proxy; Makassar transport	KELVIN WAVE; SEA-LEVEL; VARIABILITY; TRANSPORT; PACIFIC	The Indonesian throughflow (ITF) from the Pacific to the Indian Ocean plays an important role in global ocean circulation and climate. Yet, continuous ITF measurement is difficult and expensive. The longest time series of in situ measurements of the ITF to date were taken in the Makassar Strait, the main pathway of the ITF. Here we have demonstrated a plausible approach to derive the ITF transport proxy using satellite altimetry sea surface height (SSH), gravimetry ocean bottom pressure (OBP) data, in situ measurements from the Makassar Strait from 1996 to 1998 and 2004 to 2011, and a theoretical formulation. We first identified the optimal locations of the correlation between the observed ITF transport through the Makassar Strait and the pressure gradients, represented by the SSH and OBP differences between the Pacific and Indian Oceans at a 1 degrees x 1 degrees horizontal resolution. The optimal locations were found centered at 162 degrees E and 11 degrees N in the Pacific Ocean and 80 degrees E and 0 degrees in the Indian Ocean, then were used in the theoretical formulation to estimate the throughflow. The proxy time series follow the observation time series quite well, with the 1993-2011 mean proxy transport of 11.63.2 Sv southward, varying from 5.6 Sv during the strong 1997 El Nino to 16.9 Sv during the 2007 La Nina period, which are consistent with previous estimates. The observed Makassar mean transport is 13.03.8 Sv southward over 2004-2011, while the SSH proxy (for the same period) gives an ITF mean transport of 13.94.1 Sv and the SSH+OBP proxy (for 2004-2010) is 15.83.2 Sv.	[Susanto, R. Dwi] Univ Maryland, Dept Atmospher & Ocean Sci, College Pk, MD 20742 USA; [Susanto, R. Dwi] Surya Univ, Ctr Oceanog & Marine Technol, Tangerang, Indonesia; [Song, Y. Tony] CALTECH, Jet Prop Lab, Pasadena, CA USA	Susanto, RD (corresponding author), Univ Maryland, Dept Atmospher & Ocean Sci, College Pk, MD 20742 USA.	dwi@atmos.umd.edu		SUSANTO, Raden Dwi/0000-0003-1495-5951	National Aeronautics and Space Administration (NASA)National Aeronautics & Space Administration (NASA) [JPLCIT-1362354]; NASANational Aeronautics & Space Administration (NASA)	The SSH and OBP data are freely available at NASA web-site (http://podaac.jpl.nasa.gov) and the altimeter products are distributed by Aviso (http://www.aviso.oceanobs.com/duacs/), while the observation data are available at Lamont Doherty Earth Observatory of Columbia University (http://www.ldeo.columbia.edu/res/div/ocp/projects). R.D. Susanto was sponsored by the National Aeronautics and Space Administration (NASA), under contract JPLCIT-1362354. Y. T. Song carried out research at the Jet Propulsion Laboratory, California Institute of Technology, under contract with NASA. We are grateful to our colleagues I. Soesilo, S. Wirasantosa, B. Sulistyo, and R. Adi at the Research and Development Center for Marine and Fisheries (BalitbangKP), Indonesia for their support of the field measurement programs. We appreciate the valuable comments from three anonymous reviewers.		48	18	21	0	28	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	2169-9275	2169-9291		J GEOPHYS RES-OCEANS	J. Geophys. Res.-Oceans	APR	2015	120	4					2844	2855		10.1002/2014JC010382			12	Oceanography	Oceanography	CI0HH	WOS:000354417200027					2020-09-15	
J	Williams, JG; Boggs, DH				Williams, James G.; Boggs, Dale. H.			Tides on the Moon: Theory and determination of dissipation	JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS			English	Article						Moon; tides; tidal dissipation; absorption band model; lunar laser ranging (LLR)	DEEP LUNAR INTERIOR; TIDAL DISSIPATION; MANTLE ANELASTICITY; SATELLITE TRACKING; FREE LIBRATIONS; MODEL; CONSTRAINTS; EARTHS; ATTENUATION; TEMPERATURE	Solid body tides on the Moon vary by about 0.1m each month. In addition to changes in shape, the Moon's gravity field and orientation in space are affected by tides. The tidal expressions for an elastic sphere are compact, but dissipation introduces modifications that depend on the forcing period. Consequently, a Fourier representation of the tide-raising potential is needed. A mathematical model for the distortion-caused tidal potential may be used for the analysis of precise spacecraft tracking data. Since tides affect gravitational torques on the Moon from the Earth's attraction, the lunar orientation is also affected. Expressions for five periodic perturbations of orientation are presented. The rheological properties of lunar materials determine how the Moon responds to different tidal periods. New lunar laser ranging solutions for the tidal orientation terms are presented. The quality factor Q is 384 at 1month, 419 at 1year, 74 at 3years, and 58 at 6years. The ranging results can be matched with absorption band models that peak at similar to 120days and single relaxation time models that peak at similar to 100days. Combined models are possibilities. Dissipation can modify laser ranging solutions; previously reported core flattening is too uncertain to be useful. Strong lunar tidal dissipation, modeled to arise in the deep hot mantle, appears to be from a region with radius 535 km. Classical Maxwell-type dissipation is too weak to detect at 3 and 6year periods.	[Williams, James G.; Boggs, Dale. H.] CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA	Williams, JG (corresponding author), CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA.	James.G.Williams@jpl.nasa.gov						99	38	38	0	19	AMER GEOPHYSICAL UNION	WASHINGTON	2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA	2169-9097	2169-9100		J GEOPHYS RES-PLANET	J. Geophys. Res.-Planets	APR	2015	120	4					689	724		10.1002/2014JE004755			36	Geochemistry & Geophysics	Geochemistry & Geophysics	CI1WV	WOS:000354536700004					2020-09-15	
