PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
B	Raviv, N; Karpuk, DA			IEEE	Raviv, Netanel; Karpuk, David A.			Private Polynomial Computation from Lagrange Encoding	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect			INFORMATION-RETRIEVAL	Private computation is a generalization of private information retrieval, in which a user is able to compute a function on a distributed dataset without revealing the identity of that function to the servers that store the dataset. In this paper it is shown that Lagrange encoding, a recently suggested powerful technique for encoding Reed-Solomon codes, enables private computation in many cases of interest. In particular, we present a scheme that enables private computation of polynomials of any degree on Lagrange encoded data, while being robust to Byzantine and straggling servers, and to servers that collude in attempt to deduce the identities of the functions to be evaluated. Moreover, incorporating ideas from the well-known Shamir secret sharing scheme allows the data itself to be concealed from the servers as well. Our results extend private computation to non-linear polynomials and to data-privacy, and reveal a tight connection between private computation and coded computation.	[Raviv, Netanel] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA; [Karpuk, David A.] Univ Los Andes, Dept Matemat, Bogota, Colombia	Raviv, N (corresponding author), CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA.							15	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							1672	1676					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100301153		Green Accepted			2020-09-15	
B	Chen, SQ; Effros, M; Kostina, V			IEEE	Chen, Shuqing; Effros, Michelle; Kostina, Victoria			Lossless Source Coding in the Point-to-Point, Multiple Access, and Random Access Scenarios	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect			ASYMPTOTICS	This paper treats point-to-point, multiple access and random access lossless source coding in the finite-blocklength regime. A random coding technique is developed, and its power in analyzing the third-order coding performance is demonstrated in all three scenarios. Results include a third-order-optimal characterization of the Slepian-Wolf rate region and a proof showing that for dependent sources, the independent encoders used by Slepian-Wolf codes can achieve the same third-order-optimal performance as a single joint encoder. The concept of random access source coding, which generalizes the multiple access scenario to allow for a subset of participating encoders that is unknown a priori to both the encoders and the decoder, is introduced. Contributions include a new definition of the probabilistic model for a random access-discrete multiple source, a general random access source coding scheme that employs a rateless code with sporadic feedback, and an analysis demonstrating via a random coding argument that there exists a deterministic code of the proposed structure that simultaneously achieves the third-order-optimal performance of Slepian-Wolf codes for all possible subsets of encoders.	[Chen, Shuqing; Effros, Michelle; Kostina, Victoria] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA	Chen, SQ (corresponding author), CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA.	schen2@caltech.edu; effros@caltech.edu; vkostina@caltech.edu			National Science FoundationNational Science Foundation (NSF) [CCF-1817241]; Oringer Fellowship Fund in Information Science and Technology	This work is supported in part by the National Science Foundation under Grant CCF-1817241. The work of S. Chen is supported in part by the Oringer Fellowship Fund in Information Science and Technology.		16	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							1692	1696					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100301157		Green Accepted			2020-09-15	
B	Raviv, N; Yu, Q; Bruck, J; Avestimehr, S			IEEE	Raviv, Netanel; Yu, Qian; Bruck, Jehoshua; Avestimehr, Salmon			Download and Access Trade-offs in Lagrange Coded Computing	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect				Lagrange Coded Computing (LCC) is a recently proposed technique for resilient, secure, and private computation of arbitrary polynomials in distributed environments. By mapping such computations to composition of polynomials, LCC allows the master node to complete the computation by accessing a minimal number of workers and downloading all of their content, thus providing resiliency to the remaining stragglers. However, in the most common case in which the number of stragglers is less than in the worst case scenario, much of the computational power of the system remains unexploited. To amend this issue, in this paper we expand LCC by studying a fundamental trade-off between download and access, and present two contributions. In the first contribution, it is shown that without any modification to the encoding process, the master can decode the computations by accessing a larger number of nodes, however downloading less information from each node in comparison with LCC (i.e., trading access for download). This scheme relies on decoding a particular polynomial in the ideal that is generated by the polynomials of interest, a technique we call Ideal Decoding. This new scheme also improves LCC in the sense that for systems with adversaries, the overall downloaded bandwidth is smaller than in LCC. In the second contribution we study a real-time model of this trade-off, in which the data from the workers is downloaded sequentially. By clustering nodes of similar delays and encoding the function with Universally Decodable Matrices, the master can decode once sufficient data is downloaded from every cluster, regardless of the internal delays within that cluster. This allows the master to utilize the partial work that is done by stragglers, rather than to ignore it, a feature that most past works in coded computing are lacking.	[Raviv, Netanel; Bruck, Jehoshua] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA; [Yu, Qian; Avestimehr, Salmon] Univ Soouthern Calif, Dept Elect Engn, Los Angeles, CA 90089 USA	Raviv, N (corresponding author), CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA.				Defense Advanced Research Projects Agency (DARPA)United States Department of DefenseDefense Advanced Research Projects Agency (DARPA) [HR001117C0053]; ARO [W911NF1810400]; NSFNational Science Foundation (NSF) [CCF-1703575]; ONROffice of Naval Research [N00014-16-1-2189, CCF-1763673]	This material is based upon work supported by Defense Advanced Research Projects Agency (DARPA) under Contract No. HR001117C0053, ARO award W911NF1810400, NSF grants CCF-1703575, ONR Award No. N00014-16-1-2189, and CCF-1763673. The views, opinions, and/or findings expressed are those of the author(s) and should not be interpreted as representing the official views or policies of the Department of Defense or the U.S. Government.		20	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							1787	1791					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100301176		Green Accepted			2020-09-15	
B	Tian, PD; Kostina, V			IEEE	Tian, Peida; Kostina, Victoria			From Parameter Estimation to Dispersion of Nonstationary Gauss-Markov Processes	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect			DEVIATIONS	This paper provides a precise error analysis for the maximum likelihood estimate (a) over cap (u) of the parameter a given samples u = (u(1),...,u(n))(inverted perpendicular) drawn from a nonstationary Gauss-Markov process U-i = aU(i-1) + (Zi), i >= 1, where a > 1, U-0 = 0, and Z(i)'s are independent Gaussian random variables with zero mean and variance sigma(2). We show a tight nonasymptotic exponentially decaying bound on the tail probability of the estimation error. Unlike previous works, our bound is tight already for a sample size of the order of hundreds. We apply the new estimation bound to find the dispersion for lossy compression of nonstationary Gauss-Markov sources. We show that the dispersion is given by the same integral formula derived in our previous work [1] for the (asymptotically) stationary Gauss-Markov sources, i.e., vertical bar a vertical bar < 1. New ideas in the nonstationary case include a deeper understanding of the scaling of the maximum eigenvalue of the covariance matrix of the source sequence, and new techniques in the derivation of our estimation error bound.	[Tian, Peida; Kostina, Victoria] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA	Tian, PD (corresponding author), CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA.	ptian@caltech.edu; vkostina@caltech.edu			National Science Foundation (NSF)National Science Foundation (NSF) [CCF-1751356]	This research was supported in part by the National Science Foundation (NSF) under Grant CCF-1751356.		21	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2044	2048					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100302028		Green Accepted			2020-09-15	
B	Abbasi, E; Salehi, F; Hassibi, B			IEEE	Abbasi, Ehsan; Salehi, Fariborz; Hassibi, Babak			Sparse Covariance Estimation from Quadratic Measurements: A Precise Analysis	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect				We study the problem of estimating a high-dimensional sparse covariance matrix, Sigma(0), from a finite number of quadratic measurements, i.e., measurements a(i)(T)Sigma(0)a(i) which are quadratic forms in the measurement vectors a(i) resulting from the covariance matrix, Sigma(0). Such a problem arises in applications where we can only make energy measurements of the underlying random variables. We study a simple LASSO-like convex recovery algorithm which involves a squared 2-norm (to match the covariance estimate to the measurements), plus a regularization term (that penalizes the l(1)-norm of the non-diagonal entries of Sigma(0) to enforce sparsity). When the measurement vectors are i.i.d. Gaussian, we obtain the precise error performance of the algorithm (accurately determining the estimation error in any metric, e.g., 2-norm, operator norm, etc.) as a function of the number of measurements and the underlying distribution of Sigma(0). In particular, in the noiseless case we determine the necessary and sufficient number of measurements required to perfectly recover Sigma(0) as a function of its sparsity. Our results rely on a novel comparison lemma which relates a convex optimization problem with "quadratic Gaussian" measurements to one which has i.i.d. Gaussian measurements.	[Abbasi, Ehsan; Salehi, Fariborz; Hassibi, Babak] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA	Abbasi, E (corresponding author), CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA.	eabbasi@caltech.edu; fsalehi@caltech.edu; hassibi@caltech.edu						20	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2074	2078					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100302034					2020-09-15	
B	Arrieta, M; Esnaola, I; Effros, M			IEEE	Arrieta, Miguel; Esnaola, Inaki; Effros, Michelle			Universal Privacy Guarantees for Smart Meters	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect			ERROR	Smart meters enable improvements in electricity distribution system efficiency at some cost in customer privacy. Users with home batteries can mitigate this privacy loss by applying charging policies that mask their underlying energy use. A battery charging policy is proposed and shown to provide universal privacy guarantees subject to a constraint on energy cost. The guarantee bounds our strategy's maximal information leakage from the user to the utility provider under general stochastic models of user energy consumption. The policy construction adapts coding strategies for non-probabilistic permuting channels to this privacy problem.	[Arrieta, Miguel; Esnaola, Inaki] Univ Sheffield, Dept Automat Control & Syst Engn, Sheffield S1 3JD, S Yorkshire, England; [Esnaola, Inaki] Princeton Univ, Dept Elect Engn, Princeton, NJ 08544 USA; [Effros, Michelle] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA	Arrieta, M (corresponding author), Univ Sheffield, Dept Automat Control & Syst Engn, Sheffield S1 3JD, S Yorkshire, England.							24	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2154	2158					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100302050		Green Accepted			2020-09-15	
B	Lalitha, A; Khina, A; Javidi, T; Kostina, V			IEEE	Lalitha, Anusha; Khina, Anatoly; Javidi, Tara; Kostina, Victoria			Real-time Binary Posterior Matching	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect			NOISY; COMMUNICATION	We consider the problem of communications over the binary symmetric channel with feedback, where the information sequence is made available in a causal, possibly random, fashion. We develop a real-time variant of the renowned Horstein scheme and provide analytical guarantees for its error-probability exponential decay rate. We further use the scheme to stabilize an unstable control plant over a binary symmetric channel and compare the analytical guarantees with its empirical performance as well as with those of anytime-reliable codes.	[Lalitha, Anusha; Javidi, Tara] Univ Calif San Diego, Dept Elect & Comp Engn, La Jolla, CA 92093 USA; [Khina, Anatoly] Tel Aviv Univ, Sch Elect Engn, IL-6997801 Tel Aviv, Israel; [Kostina, Victoria] CALTECH, Dept Elect Engn, Pasadena, CA 91125 USA; [Khina, Anatoly; Kostina, Victoria] Simons Inst Theory Comp, Berkeley, CA USA	Lalitha, A (corresponding author), Univ Calif San Diego, Dept Elect & Comp Engn, La Jolla, CA 92093 USA.	alalitha@eng.ucsd.edu; anatolyk@eng.tau.ac.il; tjavidi@eng.ucsd.edu; vkostina@caltech.edu			National Science Foundation (NSF)National Science Foundation (NSF) [CIF-1719133, CIF-1513883, CIF 1448237]; European UnionEuropean Union (EU) [708932]; NSFNational Science Foundation (NSF) [CCF-1566567, CCF-1751356]	The work of A. Lalitha and T. Javidi was supported in part by the National Science Foundation (NSF) under Grant CIF-1719133, CIF-1513883 and CIF 1448237. This work has received funding from the European Union's Horizon 2020 research and innovation programme under the Marie Sklodowska-Curie grant agreement No 708932. The work of V. Kostina was supported in part by the NSF under Grant CCF-1566567 and Grant CCF-1751356. This work was done in part while A. Khina and V. Kostina were visiting the Simons Institute for the Theory of Computing.		13	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2239	2243					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100302067					2020-09-15	
B	Chaudhuri, D; Langberg, M; Effros, M			IEEE	Chaudhuri, Debaditya; Langberg, Michael; Effros, Michelle			Secure Network Coding in the Setting in Which a Non-Source Node May Generate Random Keys	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect				It is common in the study of secure multicast network coding in the presence of an eavesdropper that has access to z network links, to assume that the source node is the only node that generates random keys. In this setting, the secure multicast rate is well understood. Computing the secure multicast rate, or even the secure unicast rate, in the more general setting in which all network nodes may generate (independent) random keys is known to be as difficult as computing the (non-secure) capacity of multiple-unicast network coding instances - a well known open problem. This work treats an intermediate model of secure unicast in which only one node can generate random keys, however that node need not be the source node. The secure communication rate for this setting is characterized again with an eavesdropper that has access to z network links.	[Chaudhuri, Debaditya; Langberg, Michael] SUNY Buffalo, Buffalo, NY 14260 USA; [Effros, Michelle] CALTECH, Pasadena, CA 91125 USA	Chaudhuri, D (corresponding author), SUNY Buffalo, Buffalo, NY 14260 USA.	debadity@buffalo.edu; mikel@buffalo.edu; effros@caltech.edu			NSFNational Science Foundation (NSF) [CCF-1526771, CCF-1817241]	Work supported in part by NSF grants CCF-1526771 and CCF-1817241.		16	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2309	2313					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100302081		Green Accepted			2020-09-15	
B	Can, T; Rengaswamy, N; Calderbank, R; Pfister, HD			IEEE	Can, Trung; Rengaswamy, Narayanan; Calderbank, Robert; Pfister, Henry D.			Kerdock Codes Determine Unitary 2-Designs	2019 IEEE INTERNATIONAL SYMPOSIUM ON INFORMATION THEORY (ISIT)	IEEE International Symposium on Information Theory		English	Proceedings Paper	IEEE International Symposium on Information Theory (ISIT)	JUL 07-12, 2019	Paris, FRANCE	IEEE, Inst Elect & Elect Engineers, Informat Theory Soc, Huawei, TeSA, Qualcomm, CentraleSupelec, INP Toulouse, Mitsubishi Elect		Heisenberg-Weyl group; Pauli group; quantum computing; Clifford group; symplectic geometry; Kerdock codes; Delsarte-Goethals codes; Gray map; stabilizer states; mutually unbiased bases; unitary t-designs	QUANTUM; FORMS	The binary non-linear Kerdock codes are Gray images of Z(4)-linear Kerdock codes of length N = 2(m). We show that exponentiating l = root-1 by these Z(4)-valued codewords produces stabilizer states, which are the common eigenvectors of maximal commutative subgroups (MCS) of the Pauli group. We use this quantum description to simplify the proof of the classical weight distribution of Kerdock codes. Next, we partition stabilizer states into N + 1 mutually unbiased bases and prove that automorphisms of the Kerdock code permute the associated MCS. This automorphism group, represented as symplectic matrices, is isomorphic to the projective special linear group PSL(2, N) and forms a unitary 2-design. The design described here was originally discovered by Cleve et al. (2016), but the connection to classical codes is new. This significantly simplifies the description of the design and its translation to circuits.	[Can, Trung] CALTECH, Dept Math, Pasadena, CA 91125 USA; [Rengaswamy, Narayanan; Calderbank, Robert; Pfister, Henry D.] Duke Univ, Dept Elect & Comp Engn, Durham, NC 27708 USA	Can, T (corresponding author), CALTECH, Dept Math, Pasadena, CA 91125 USA.	tcan@caltech.edu; narayanan.rengaswamy@duke.edu; robert.calderbank@duke.edu; henry.pfister@duke.edu						21	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5386-9291-2	IEEE INT SYMP INFO			2019							2908	2912					5	Computer Science, Information Systems; Computer Science, Theory & Methods	Computer Science	BN9JY	WOS:000489100303002		Green Accepted			2020-09-15	
S	Hook, JV; Seto, W; Nguyen, V; Hasnain, Z; Gallagher, L; Halpin-Chan, T; Varahamurthy, V; Angulo, M		Shoemaker, CM; Nguyen, HG; Muench, PL		Hook, Joshua Vander; Seto, William; Viet Nguyen; Hasnain, Zaki; Gallagher, Liam; Halpin-Chan, Tyler; Varahamurthy, Varun; Angulo, Moises			Autonomous Swarms of High Speed Maneuvering Surface Vessels for the Central Test Evaluation Improvement	UNMANNED SYSTEMS TECHNOLOGY XXI	Proceedings of SPIE		English	Proceedings Paper	Conference on Unmanned Systems Technology XXI	APR 16-18, 2019	Baltimore, MD	SPIE			OBSTACLE AVOIDANCE; MOBILE ROBOTS	We review efforts by NAVAIR and NASA Jet Propulsion Laboratory to automate the operation of the largest fleet of autonomous maritime vehicles. The vehicles are intended for large-scale demonstrations of US Navy systems and tactics to counter asymmetric naval threats. This review covers a distributed architecture for human-in-the-loop control of several autonomous high speed boats. Hazard avoidance and formation control was verified using real-world vehicles.	[Hook, Joshua Vander; Seto, William; Viet Nguyen; Hasnain, Zaki; Gallagher, Liam; Varahamurthy, Varun] CALTECH, NASA, Jet Prop Lab, Maritime & Multi Agent Auton Grp, Pasadena, CA 91125 USA; [Halpin-Chan, Tyler; Varahamurthy, Varun] Surface Targets Engn Branch 53150ME, 53150ME,Bldg 466, Port Hueneme, CA USA	Hook, JV (corresponding author), CALTECH, NASA, Jet Prop Lab, Maritime & Multi Agent Auton Grp, Pasadena, CA 91125 USA.	hook@jpl.nasa.gov; seto@jpl.nasa.gov; tyler.halpin-chan@navy.mil; varun.varahamurthy@navy.mil; moises.angulo1@navy.mil			National Aeronautics and Space AdministrationNational Aeronautics & Space Administration (NASA)	The research was carried out at the Jet Propulsion Laboratory, California Institute of Technology, under a contract with the National Aeronautics and Space Administration. Government sponsorship acknowledged. Copyright (C) 2018, California Institute of Technology.		23	0	0	1	2	SPIE-INT SOC OPTICAL ENGINEERING	BELLINGHAM	1000 20TH ST, PO BOX 10, BELLINGHAM, WA 98227-0010 USA	0277-786X	1996-756X	978-1-5106-2708-6	PROC SPIE			2019	11021								UNSP 110210M	10.1117/12.2518554			10	Engineering, Electrical & Electronic; Optics	Engineering; Optics	BN9RO	WOS:000489759600016					2020-09-15	
