_id,name,raw_names,affiliations,addresses,publications
dc9a8ea5-ef58-400d-9e5c-16fd95e27c83,"Daubar, Ingrid J.","['Daubar, I. J.', 'Daubar, Ingrid J.']",['JPL'],"['Jet Prop Lab, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91125 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA']","['WOS:000429572600005', 'WOS:000469247200006', 'WOS:000429572600003', 'WOS:000375537300007', 'WOS:000469159500005', 'WOS:000469159500021', 'WOS:000396824100007', 'WOS:000404131900013', 'WOS:000369125700008', 'WOS:000499304300001']"
9ec4cae4-a53d-45a0-b920-8d52e5a6adf7,"Daubar, Ingrid","['Daubar, Ingrid']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA']","['WOS:000473734200009', 'WOS:000485562502025']"
10c944cd-c4fc-43be-8fb3-2af83ca62c7f,"Daubar, I.","['Daubar, I.']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA']",['WOS:000416129000010']
9b67a0ec-d1c1-4227-9a55-dadff4da354f,"Golombek, Matthew P.","['Golombek, M. P.', 'Golombek, Matthew P.', 'Golombek, Matt P.']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91011 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91125 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Div Earth & Space Sci, Pasadena, CA 91109 USA']","['WOS:000478106800009', 'WOS:000378185600038', 'WOS:000477720700001', 'WOS:000469355700020', 'WOS:000469247200006', 'WOS:000387470500001', 'WOS:000473734200009', 'WOS:000450621300014', 'WOS:000375885700005', 'WOS:000427564300008', 'WOS:000430106000003', 'WOS:000369125700008', 'WOS:000451493200012', 'WOS:000384629200003']"
a46c8eac-0a64-4358-9295-37e3007fe5de,"Golombek, M.","['Golombek, M.']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA USA']","['WOS:000352855100011', 'WOS:000416129000010']"
604ae23f-3ef3-484e-859d-2ee98a5f41fc,"Raymond, Carol A.","['Raymond, Carol A.', 'Raymond, C. A.']","['JPL', 'Caltech']","['NASA, Jet Prop Lab, Pasadena, CA USA', 'Jet Prop Lab, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, JPL, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'NASA, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91709 USA', 'CALTECH, 4800 Oak Grove Dr, Pasadena, CA 91709 USA', 'NASA, JPL, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA', 'NASA, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, NASA, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'Caltech, Jet Prop Lab, Pasadena, CA 91109 USA', 'Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA USA', 'CALTECH, JPL, Pasadena, CA 91125 USA', 'NASA, Jet Prop Lab, La Canada Flintridge, CA 91011 USA', 'CALTECH, NASA Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, NASA, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'NASA, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, JPL, Pasadena, CA 91109 USA', 'CALTECH, NASA JPL, Pasadena, CA 91125 USA', 'CALTECH, NASA Jet Prop Lab, Pasadena, CA 91125 USA', 'CALTECH, NASA JPL, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, NASA, Pasadena, CA USA']","['WOS:000392515000009', 'WOS:000454578700068', 'WOS:000455073800008', 'WOS:000361258500006', 'WOS:000369125700013', 'WOS:000369400300012', 'WOS:000361258500007', 'WOS:000459644000004', 'WOS:000455073800011', 'WOS:000455073800013', 'WOS:000382558900033', 'WOS:000383545900048', 'WOS:000361258500012', 'WOS:000455073800004', 'WOS:000455073800014', 'WOS:000427892700014', 'WOS:000453804100012', 'WOS:000393954900012', 'WOS:000443577500014', 'WOS:000359095300012', 'WOS:000453804100005', 'WOS:000443577500003', 'WOS:000406257400012', 'WOS:000459644000007', 'WOS:000366345300014', 'WOS:000455484700008', 'WOS:000426161800012', 'WOS:000477720700003', 'WOS:000453804100008', 'WOS:000459644000010', 'WOS:000415827600011', 'WOS:000370459600012', 'WOS:000453804100013', 'WOS:000361258500009', 'WOS:000412615700031', 'WOS:000397367900014', 'WOS:000455422800053', 'WOS:000382558900028', 'WOS:000459644000002', 'WOS:000382558900032', 'WOS:000395117700035', 'WOS:000382558900029', 'WOS:000460713400011', 'WOS:000455073800012', 'WOS:000455073800017', 'WOS:000428747500107', 'WOS:000459644000016', 'WOS:000459245700004', 'WOS:000459644000005', 'WOS:000361258500005', 'WOS:000382558900031', 'WOS:000455073800005', 'WOS:000453804100009', 'WOS:000458038800017', 'WOS:000456938600010', 'WOS:000443577500006', 'WOS:000380999200028', 'WOS:000399762700005', 'WOS:000380901600013', 'WOS:000348411000027', 'WOS:000392741900005', 'WOS:000481444400003', 'WOS:000391739900041', 'WOS:000455073800015', 'WOS:000363095100004', 'WOS:000445612500028', 'WOS:000392515000003', 'WOS:000427892700007', 'WOS:000366053300036', 'WOS:000443577500010', 'WOS:000500465000003', 'WOS:000455073800018', 'WOS:000361258500003', 'WOS:000361258500011', 'WOS:000443577500008', 'WOS:000358101300015', 'WOS:000455073800010', 'WOS:000400407000009', 'WOS:000361258500013', 'WOS:000502969700001', 'WOS:000473104300005', 'WOS:000349197500016', 'WOS:000393138200007', 'WOS:000453804100002', 'WOS:000361258500010', 'WOS:000402350900009', 'WOS:000413921300006', 'WOS:000481444400011', 'WOS:000361258500002', 'WOS:000453804100006', 'WOS:000459644000015', 'WOS:000396411100006', 'WOS:000443577500009', 'WOS:000382558900030', 'WOS:000428484700014', 'WOS:000366053300035', 'WOS:000379823800020', 'WOS:000502289200021', 'WOS:000417851800004', 'WOS:000459644000006', 'WOS:000459644000014', 'WOS:000416507000003', 'WOS:000380197100001', 'WOS:000381323800009', 'WOS:000455073800016', 'WOS:000361258500008', 'WOS:000453501200003', 'WOS:000455073800007', 'WOS:000394465000129', 'WOS:000453804100004', 'WOS:000455073800003', 'WOS:000455073800006', 'WOS:000488223800006', 'WOS:000374617100002', 'WOS:000453804100007', 'WOS:000453804100011', 'WOS:000443577500013', 'WOS:000399134100002', 'WOS:000459644000008']"
b5522407-1029-4e1b-846b-f282a83aa82d,"Raymond, Carol","['Raymond, Carol']",['JPL'],"['CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'Jet Prop Lab, Pasadena, CA USA']","['WOS:000414816300002', 'WOS:000538777000001']"
f83dfe7d-0f24-48a6-b7c0-0897397bd4e2,"Raymond, Colin","['Raymond, Colin']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91125 USA']",['WOS:000493057400005']
906c0945-c4e0-49f3-8149-788c5a1ffae3,"Garcia, Mariano","['Garcia, Mariano']",['JPL'],"['CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, NASA, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91125 USA']","['WOS:000379093700016', 'WOS:000414650600098', 'WOS:000402571700093', 'WOS:000371000000020', 'WOS:000452074600001', 'WOS:000396130400005']"
42b86112-2a48-4b9c-9e7c-584fe02578c4,"Garcia, Jordi Paredes","['Garcia, Jordi Paredes']",['JPL'],"['CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA']",['WOS:000399818700123']
