_id,name,affiliations,title,addresses
07f761f0-90b4-435b-b32a-575ecb804b4e,"Anderson, D.",['Caltech'],Search for third-generation scalar leptoquarks and heavy right-handed neutrinos in final states with two tau leptons and two jets in proton-proton collisions at root s=13 TeV,"['CALTECH, Pasadena, CA USA', 'CALTECH, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
3979d41b-48a2-4ece-bc0e-efbabb7c9a01,"Anderson, S. B.",['Caltech'],Search for high-energy neutrinos from gravitational wave event GW151226 and candidate LVT151012 with ANTARES and IceCube,"['CALTECH, LIGO, Pasadena, CA 91125 USA']"
21fdfd50-54fb-472e-9caa-9c3fec9a7105,"Anderson, Rodney L.",['JPL'],ISOLATING BLOCKS AS COMPUTATIONAL TOOLS IN THE CIRCULAR RESTRICTED THREE-BODY PROBLEM,"['CALTECH, Jet Prop Lab, Mission Design & Nav Sect, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Tech Staff, 4800 Oak Grove Dr,M-S 301-121, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr,MS 301-121, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr,M-S 301-121, Pasadena, CA 91109 USA']"
17dbc997-65c1-4c6b-8a80-9e79767935aa,"Anderson, Dustin",['Caltech'],Precision Timing Calorimeter for High Energy Physics,"['CALTECH, Dept Phys, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA']"
aad1b43c-3ee2-4fee-ac0b-f70f1fb9ac7a,"Anderson, James",['Caltech'],System Level Synthesis with State and Input Constraints,"['CALTECH, Dept Comp Math Sci, Pasadena, CA 91105 USA', 'CALTECH, Comp & Math Sci Dept, Pasadena, CA 91106 USA', 'CALTECH, Dept Comp & Math Sci, Pasadena, CA 91125 USA', 'CALTECH, Pasadena, CA 91125 USA', 'CALTECH, Dept Comp Math Sci, Pasadena, CA 91125 USA']"
26e505ea-aad1-46e7-a8e1-3936c189cff3,"Anderson, Mark S.",['JPL'],Intrinsic surface areas and bond site concentrations of silica aerogels of different densities,"['CALTECH, Jet Prop Lab, NASA, Pasadena, CA 91109 USA', 'Jet Prop Lab, Pasadena, CA USA', 'CALTECH, Jet Prop Lab, Pasadena, CA 91107 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr,M-S 125-109, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr, Pasadena, CA 91109 USA']"
edff85b6-d999-4ded-923b-f1f0114481dd,"Anderson, Dana E.",['Caltech'],Probing the Gas Content of Late-stage Protoplanetary Disks with N2H+,"['CALTECH, Div Geol & Planetary Sci, 1200 E Calif Blvd, Pasadena, CA 91125 USA', 'CALTECH, Div Geol & Planetary Sci, MC 150-21,1200 E Calif Blvd, Pasadena, CA 91125 USA']"
353b0af7-60db-48c5-ba1e-eb4674800830,"Anderson, G.",['JPL'],Experimental results from the ST7 mission on LISA Pathfinder,"['CALTECH, NASA, Jet Prop Lab, Pasadena, CA 91109 USA']"
a92232fd-5cc0-4a79-b07d-249d9ac3a033,"Anderson, J.",['JPL'],Experimental results from the ST7 mission on LISA Pathfinder,"['CALTECH, NASA, Jet Prop Lab, Pasadena, CA 91109 USA']"
75329feb-7a77-4af7-bb9b-53d77a861363,"Anderson, M.",['JPL'],Experimental results from the ST7 mission on LISA Pathfinder,"['CALTECH, NASA, Jet Prop Lab, Pasadena, CA 91109 USA', 'CALTECH, Jet Prop Lab, 4800 Oak Grove Dr,MS 125-109, Pasadena, CA 91109 USA']"
