PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Hui, H; Ade, PAR; Ahmed, Z; Alexander, KD; Amiri, M; Barkats, D; Benton, SJ; Bischoff, CA; Bock, JJ; Boenish, H; Bowens-Rubin, R; Buder, I; Bullock, E; Buza, V; Connors, J; Filippini, JP; Fliescher, S; Grayson, JA; Halpern, M; Harrison, S; Hilton, GC; Hristov, VV; Irwin, KD; Kang, J; Karkare, KS; Karpel, E; Kefeli, S; Kernasovskiy, SA; Kovac, JM; Kuo, CL; Leitch, EM; Lueker, M; Megerian, KG; Monticue, V; Namikawa, T; Netterfield, CB; Nguyen, T; O'Brient, R; Ogburn, RW; Pryke, C; Reintsema, CD; Richter, S; Schwarz, R; Sorensen, C; Sheehy, CD; Staniszewski, ZK; Steinbach, B; Teply, GP; Thompson, KL; Tolan, JE; Tucker, C; Turner, AD; Vieregg, AG; Wandui, A; Weber, AC; Wiebe, DV; Willmert, J; Wu, WLK; Yoon, KW		Holland, WS; Zmuidzinas, J		Hui, H.; Ade, P. A. R.; Ahmed, Z.; Alexander, K. D.; Amiri, M.; Barkats, D.; Benton, S. J.; Bischoff, C. A.; Bock, J. J.; Boenish, H.; Bowens-Rubin, R.; Buder, I.; Bullock, E.; Buza, V.; Connors, J.; Filippini, J. P.; Fliescher, S.; Grayson, J. A.; Halpern, M.; Harrison, S.; Hilton, G. C.; Hristov, V. V.; Irwin, K. D.; Kang, J.; Karkare, K. S.; Karpel, E.; Kefeli, S.; Kernasovskiy, S. A.; Kovac, J. M.; Kuo, C. L.; Leitch, E. M.; Lueker, M.; Megerian, K. G.; Monticue, V.; Namikawa, T.; Netterfield, C. B.; Nguyen, T.; O'Brient, R.; Ogburn, R. W.; Pryke, C.; Reintsema, C. D.; Richter, S.; Schwarz, R.; Sorensen, C.; Sheehy, C. D.; Staniszewski, Z. K.; Steinbach, B.; Teply, G. P.; Thompson, K. L.; Tolan, J. E.; Tucker, C.; Turner, A. D.; Vieregg, A. G.; Wandui, A.; Weber, A. C.; Wiebe, D. V.; Willmert, J.; Wu, W. L. K.; Yoon, K. W.			BICEP3 focal plane design and detector performance	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				BICEP3, the latest telescope in the BICEP/Keck program, started science observations in March 2016. It is a 550mm aperture refractive telescope observing the polarization of the cosmic microwave background at 95 GHz. We show the focal plane design and detector performance, including spectral response, optical efficiency and preliminary sensitivity of the upgraded BICEP3. We demonstrate 9.72 mu K-CMB root s noise performance of the BICEP3 receiver.					Namikawa, Toshiya/0000-0003-3070-9240; Wu, Kimmy/0000-0001-5411-6920; Ade, Peter/0000-0002-5127-0401; Tucker, Carole/0000-0002-1851-3918; Karkare, Kirit/0000-0002-5215-6993												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99140T	10.1117/12.2232986							WOS:000385793800018						
S	Hunacek, J; Bock, J; Bradford, CM; Bumble, B; Chang, TC; Cheng, YT; Cooray, A; Crites, A; Hailey-Dunsheath, S; Gong, Y; Li, CT; O'Brient, R; Shirokoff, E; Shiu, C; Sun, J; Staniszewski, Z; Uzgil, B; Zemcov, M		Holland, WS; Zmuidzinas, J		Hunacek, Jonathon; Bock, James; Bradford, C. Matt; Bumble, Bruce; Chang, Tzu-Ching; Cheng, Yun-Ting; Cooray, Asantha; Crites, Abigail; Hailey-Dunsheath, Steven; Gong, Yan; Li, Chao-Te; O'Brient, Roger; Shirokoff, Erik; Shiu, Corwin; Sun, Jason; Staniszewski, Zachary; Uzgil, Bade; Zemcov, Michael			Detector Modules and Spectrometers for the TIME-Pilot [CII] Intensity Mapping Experiment	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				This proceeding presents the current TIME-Pilot instrument design and status with a focus on the close-packed modular detector arrays and spectrometers. Results of laboratory tests with prototype detectors and spectrometers are discussed. TIME-Pilot is a new mm-wavelength grating spectrometer array under development that will study the Epoch of Reionization (the period of time when the first stars and galaxies ionized the intergalactic medium) by mapping the fluctuations of the redshifted 157.7 mu m emission line of singly ionized carbon ([CII]) from redshift z similar to 5.2 to 8.5. As a tracer of star formation, the [CII] power spectrum can provide information on the sources driving reionization and complements 21 cm data (which traces neutral hydrogen in the intergalactic medium). Intensity mapping provides a measure of the mean [CII] intensity without the need to resolve and detect faint sources individually. We plan to target a 1 degree by 0.35 arcminute field on the sky and a spectral range of 199-305 GHz, producing a spatial-spectral slab which is 140 Mpc by 0.9 Mpc on-end and 1230 Mpc in the redshift direction. With careful removal of intermediate-redshift CO sources, we anticipate a detection of the halo-halo clustering term in the [CII] power spectrum consistent with current models for star formation history in 240 hours on the JCMT. TIME-Pilot will use two stacks of 16 parallel-plate waveguide spectrometers (one stack per polarization) with a resolving power R similar to 100 and a spectral range of 183 to 326 GHz. The range is divided into 60 spectral channels, of which 16 at the band edges on each spectrometer serve as atmospheric monitors. The diffraction gratings are curved to produce a compact instrument, each focusing the diffracted light onto an output arc sampled by the 60 bolometers. The bolometers are built in buttable dies of 8 (low freqeuency) or 12 (high frequency) spectral channels by 8 spatial channels and are mated to the spectrometer stacks. Each detector consists of a gold micro-mesh absorber and a titanium transition edge sensor (TES). The detectors (1920 total) are designed to operate from a 250 mK base temperature in an existing cryostat with a photon-noise-dominated NEP of similar to 2 * 10(-17) WHz(-1/2). A set of flexible superconducting cables connect the detectors to a time-domain multiplexing SQUID readout system.																	0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99140L	10.1117/12.2233762							WOS:000385793800014						
S	Johnson, BR; Flanigan, D; Abitbol, MH; Ade, PAR; Bryan, S; Cho, HM; Datta, R; Day, P; Doyle, S; Irwin, K; Jones, G; Kernasovskiy, S; Li, DL; Mauskopf, P; McCarrick, H; McMahon, J; Miller, A; Pisano, G; Song, YR; Surdi, H; Tucker, C		Holland, WS; Zmuidzinas, J		Johnson, Bradley R.; Flanigan, Daniel; Abitbol, Maximilian H.; Ade, Peter A. R.; Bryan, Sean; Cho, Hsiao-Mei; Datta, Rahul; Day, Peter; Doyle, Simon; Irwin, Kent; Jones, Glenn; Kernasovskiy, Sarah; Li, Dale; Mauskopf, Phil; McCarrick, Heather; McMahon, Jeff; Miller, Amber; Pisano, Giampaolo; Song, Yanru; Surdi, Harshad; Tucker, Carole			Polarization Sensitive Multi-Chroic MKIDs	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				We report on the development of scalable prototype microwave kinetic inductance detector (MKID) arrays tailored for future multi-kilo-pixel experiments that are designed to simultaneously characterize the polarization properties of both the cosmic microwave background (CMB) and Galactic dust emission. These modular arrays are composed of horn-coupled, polarization-sensitive MKIDs, and each pixel has four detectors: two polarizations in two spectral bands between 125 and 280 GHz. A horn is used to feed each array element, and a planar orthomode transducer, composed of two waveguide probe pairs, separates the incoming light into two linear polarizations. Diplexers composed of resonant-stub band-pass filters separate the radiation into 125 to 170 GHz and 190 to 280 GHz pass bands. The millimeter-wave power is ultimately coupled to a hybrid co-planar waveguide microwave kinetic inductance detector using a novel, broadband circuit developed by our collaboration. Electromagnetic simulations show the expected absorption efficiency of the detector is approximately 90%. Array fabrication will begin in the summer of 2016.				Pisano, Giampaolo/M-7218-2016	Pisano, Giampaolo/0000-0003-4302-5681; Tucker, Carole/0000-0002-1851-3918; Datta, Rahul/0000-0003-3853-8757; Ade, Peter/0000-0002-5127-0401												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99140X	10.1117/12.2233243							WOS:000385793800021						
S	Karkare, KS; Ade, PAR; Ahmed, Z; Alexander, KD; Amiri, M; Barkats, D; Benton, SJ; Bischoff, CA; Bock, JJ; Boenish, H; Bowens-Rubin, R; Buder, I; Bullock, E; Buza, V; Connors, J; Filippini, JP; Fliescher, ST; Grayson, JA; Halpern, M; Harrison, SA; Hilton, GC; Hristov, VV; Hui, H; Irwin, KD; Kang, JH; Karpel, S; Kefeli, S; Kernasovskiy, SA; Kovac, JM; Kuo, CL; Leitch, EM; Lueker, M; Megerian, KG; Monticue, V; Namikawa, T; Netterfield, CB; Nguyen, HT; O'Brient, R; Ogburn, RW; Pryke, C; Reintsema, CD; Richter, S; St Germaine, MT; Schwarz, R; Sheehy, CD; Staniszewski, ZK; Steinbach, B; Teply, GP; Thompson, KL; Tolan, JE; Tucker, C; Turner, AD; Vieregg, AG; Wandui, A; Weber, A; Willmert, J; Wong, CL; Wu, WLK; Yoon, KW		Holland, WS; Zmuidzinas, J		Karkare, K. S.; Ade, P. A. R.; Ahmed, Z.; Alexander, K. D.; Amiri, M.; Barkats, D.; Benton, S. J.; Bischoff, C. A.; Bock, J. J.; Boenish, H.; Bowens-Rubin, R.; Buder, I.; Bullock, E.; Buza, V.; Connors, J.; Filippini, J. P.; Fliescher, S. T.; Grayson, J. A.; Halpern, M.; Harrison, S. A.; Hilton, G. C.; Hristov, V. V.; Hui, H.; Irwin, K. D.; Kang, J. H.; Karpel, E.; Kefeli, S.; Kernasovskiy, S. A.; Kovac, J. M.; Kuo, C. L.; Leitch, E. M.; Lueker, M.; Megerian, K. C.; Monticue, V.; Namikawa, T.; Netterfield, C. B.; Nguyen, H. T.; O'Brient, R.; Ogburn, R. W.; Pryke, C.; Reintsema, C. D.; Richter, S.; St Germaine, M. T.; Schwarz, R.; Sheehy, C. D.; Staniszewski, Z. K.; Steinbach, B.; Teply, C. P.; Thompson, K. L.; Tolan, J. E.; Tucker, C.; Turner, A. D.; Vieregg, A. G.; Wandui, A.; Weber, A.; Willmert, J.; Wong, C. L.; Wu, W. L. K.; Yoon, K. W.			Optical characterization of the BICEP3 CMB polarimeter at the South Pole	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				BICEP3 is a small-aperture refracting cosmic microwave background (CMB) telescope designed to make sensitive polarization maps in pursuit of a potential B-mode signal from inflationary gravitational waves. It is the latest in the BICEP/Keck Array series of CMB experiments located at the South Pole, which has provided the most stringent constraints on inflation to date. For the 2016 observing season, BICEP3 was outfitted with a full suite of 2400 optically coupled detectors operating at 95 GHz. In these proceedings we report on the far field beam performance using calibration data taken during the 2015-2016 summer deployment season in situ with a thermal chopped source. We generate high-fidelity per-detector beam maps, show the array-averaged beam profile, and characterize the differential beam response between co-located, orthogonally polarized detectors which contributes to the leading instrumental systematic in pair differencing experiments. We find that the levels of differential pointing, beamwidth, and ellipticity are similar to or lower than those measured for BICEP2 and Keck Array. The magnitude and distribution of BICEP3's differential beam mismatch - and the level to which temperature-to-polarization leakage may be marginalized over or subtracted in analysis - will inform the design of next-generation CMB experiments with many thousands of detectors.					Tucker, Carole/0000-0002-1851-3918; Ade, Peter/0000-0002-5127-0401; Namikawa, Toshiya/0000-0003-3070-9240; Wu, Kimmy/0000-0001-5411-6920; Karkare, Kirit/0000-0002-5215-6993												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 991430	10.1117/12.2231747							WOS:000385793800075						
S	Lamb, JW; Cleary, KA; Gawande, RS; Kooi, JW; Laxen, MP; Plambeck, RL; Reeves, RA; Kangaslahti, PP; Varonen, M		Holland, WS; Zmuidzinas, J		Lamb, James W.; Cleary, Kieran A.; Gawande, Rohit S.; Kooi, Jacob W.; Laxen, Michael P.; Plambeck, Richard L.; Reeves, Rodrigo A.; Kangaslahti, Pekka P.; Varonen, Mikko			Sideband-separating MMIC receivers for observation in the 3-mm band	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				Wideband receivers for the 3-mm band were developed for CARMA, the Combined Array for Research in Millimeter wave Astronomy. Three cryogenic MMIC (monolithic microwave integrated circuit) amplifiers manufactured in InP 35-nm technology are combined in a block with waveguide probes and gain equalizers to cover the 80-116 GHz band. These are followed by a sideband-separating mixer that has two 17 GHZ wide outputs, for upper and lower sidebands. Each receiver has a feed horn followed by a circular-to-linear polarizer and orthomode transducer. The two polarizations are amplified by the cryogenic MMICs, and the outputs downconverted in sideband separating mixers, resulting in four 1-18 GHz channels that can be simultaneously correlated. The first receiver was tested in the lab, and on-sky tests conducted at CARMA. Measured noise temperatures were in the range 40-70 K, with a sideband rejection of about 15 dB.				; Reeves, Rodrigo/H-2812-2014	Varonen, Mikko/0000-0002-6515-5092; Reeves, Rodrigo/0000-0001-5704-271X												0277-786X	1996-756X	978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99140H	10.1117/12.2233106							WOS:000385793800011						
S	McCarrick, H; Abitbol, MH; Ade, PAR; Barry, P; Bryan, S; Che, G; Day, P; Doyle, S; Flanigan, D; Johnson, BR; Jones, G; Leduc, HG; Limon, M; Mauskop, P; Miller, A; Tucker, C; Zmuidzinas, J		Holland, WS; Zmuidzinas, J		McCarrick, Heather; Abitbol, Maximilian H.; Ade, Peter A. R.; Barry, Peter; Bryan, Sean; Che, George; Day, Peter; Doyle, Simon; Flanigan, Daniel; Johnson, Bradley R.; Jones, Glenn; LeDuc, Henry G.; Limon, Michele; Mauskop, Philip; Miller, Amber; Tucker, Carole; Zmuidzinas, Jonas			Development of dual-polarization LEKIDs for CMB observations	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				We discuss the design considerations and initial measurements from arrays of dual-polarization, lumped-element kinetic inductance detectors (LEKIDs) nominally designed for cosmic microwave background (CMB) studies. The detectors are horn-coupled, and each array element contains two single-polarization LEKIDs, which are made from thin-film aluminum and optimized for a single spectral band centered on 150 GHz. We are developing two array architectures, one based on 160 micron thick silicon wafers and the other based on silicon-on-insulator (SOI) wafers with a 30 micron thick device layer. The 20-element test arrays (40 LEKIDs) are characterized with both a linearly-polarized electronic millimeter wave source and a thermal source. We present initial measurements including the noise spectra, noise-equivalent temperature, and responsivity. We discuss future testing and further design optimizations to be implemented.					Ade, Peter/0000-0002-5127-0401; Limon, Michele/0000-0002-5900-2698; Tucker, Carole/0000-0002-1851-3918												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99140O	10.1117/12.2231830							WOS:000385793800016						
S	Treuttel, J; Schlecht, E; Siles, J; Lee, C; Lin, R; Thomas, B; Gonzalez-Olvero, D; Yee, JH; Wu, D; Mehdi, I		Holland, WS; Zmuidzinas, J		Treuttel, Jeanne; Schlecht, Erich; Siles, Jose; Lee, Choonsup; Lin, Robert; Thomas, Bertrand; Gonzalez-Olvero, David; Yee, Jeng-Hwa; Wu, Dong; Mehdi, Imran			A 2 THz Schottky Solid-State Heterodyne Receiver for Atmospheric Studies	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				Obtaining temperature, pressure, and composition profiles along with wind velocities in the Earth's thermosphere/ ionosphere system is a key NASA goal for understanding our planet. We report on the status of a technology development effort to build an all-solid-state heterodyne receiver at 2.06 THz that will allow the measurement of the 2.06 THz [OI] line for altitudes greater than 100 km. The receiver front end features low-parasitic Schottky diode mixer chips that are driven by a local oscillator (LO) source using Schottky diode based multipliers. The multiplier chain consists of a 38 GHz oscillator followed by a set of three cascaded triplers at 114 GHz, 343 GHz and 1.03 THz.				Yee, Jeng-Hwa/L-6362-2016; Wu, Dong L/D-5375-2012	Yee, Jeng-Hwa/0000-0002-8269-424X; 												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99141O	10.1117/12.2233744							WOS:000385793800040						
S	Wheeler, CH; Neric, M; Groppi, CE; Underhill, M; Mani, H; Weinreb, S; Russell, DS; Kooi, JW; Lichtenberger, AW; Walker, CK; Kulesa, C		Holland, WS; Zmuidzinas, J		Wheeler, Caleb H.; Neric, Marko; Groppi, Christopher E.; Underhill, Matthew; Mani, Hamdi; Weinreb, Sander; Russell, Damon S.; Kooi, Jacob W.; Lichtenberger, Arthur W.; Walker, Christopher K.; Kulesa, Craig			Results of using permanent magnets to suppress Josephson noise in the KAPPa SIS receiver	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				We present the results from the magnetic field generation within the Kilopixel Array Pathfinder Project (KAPPa) instrument. The KAPPa instrument is a terahertz heterodyne receiver using a Superconducting-Insulating-Superconducting (SIS) mixers. To improve performance, SIS mixers require a magnetic field to suppress Josephson noise. The KAPPa test receiver can house a tunable electromagnet used to optimize the applied magnetic field. The receiver is also capable of accommodating a permanent magnet that applies a fixed field. Our permanent magnet design uses off-the-shelf neodymium permanent magnets and then reshapes the magnetic field using machined steel concentrators. These concentrators allow the use of an unmachined permanent magnet in the back of the detector block while two small posts provide the required magnetic field across the SIS junction in the detector cavity. The KAPPa test receiver is uniquely suited to compare the permanent magnet and electromagnet receiver performance. The current work includes our design of a 'U' shaped permanent magnet, the testing and calibration procedure for the permanent magnet, and the overall results of the performance comparison between the electromagnet and the permanent magnet counterpart.																	0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99141W	10.1117/12.2231358							WOS:000385793800045						
S	Wheeler, J; Hailey-Dunsheath, S; Shirokoff, E; Barry, PS; Bradford, CM; Chapman, S; Che, G; Glenn, J; Hollister, M; Kovacs, A; Leduc, HG; Mauskopf, P; McGeehan, R; McKenney, CM; O'Brient, R; Padin, S; Reck, T; Ross, C; Shiu, C; Tucker, CE; Williamson, R; Zmuidzinas, J		Holland, WS; Zmuidzinas, J		Wheeler, J.; Hailey-Dunsheath, S.; Shirokoff, E.; Barry, P. S.; Bradford, C. M.; Chapman, S.; Che, G.; Glenn, J.; Hollister, M.; Kovacs, A.; LeDuc, H. G.; Mauskopf, P.; McGeehan, R.; McKenney, C. M.; O'Brient, R.; Padin, S.; Reck, T.; Ross, C.; Shiu, C.; Tucker, C. E.; Williamson, R.; Zmuidzinas, J.			SuperSpec: Development Towards a Full-Scale Filter Bank	MILLIMETER, SUBMILLIMETER, AND FAR-INFRARED DETECTORS AND INSTRUMENTATION FOR ASTRONOMY VIII	Proceedings of SPIE				Conference on Millimeter, Submillimeter, and Far-Infrared Detectors and Instrumentation for Astronomy VIII	JUN 28-JUL 01, 2016	Edinburgh, SCOTLAND	SPIE				SuperSpec is a new spectrometer-on-a-chip technology for submm/mm-wave spectroscopy. SuperSpec stands out from other direct-detection submm spectrometer technologies in that the detectors are coupled to a series of resonant filters along a single microwave feedline instead of using dispersive optics. SuperSpec makes use of kinetic inductance detectors (KIDs) to detect radiation in this filter bank. The small profile of this design makes SuperSpec a natural choice to produce a multi-object spectrometer for tomographic mapping or galaxy redshift surveys. We have recently fabricated a device that is a 50 channel subset of a full 280 channel filter bank, which would cover the 190- 310 GHz range at R = 275. Analysis of the data from this device informs us of the potential design modifications to enable a high-yield background-limited SuperSpec spectrometer. The results indicate that this subset filter bank can scale up to a full filter bank with only a few collisions in readout space and less than 20% variation in responsivity for the detectors. Additionally, the characterization of this and other prototype devices suggests that the noise performance is limited by generation-recombination noise. Finally, we find that the detectors are sufficiently sensitive for ground-based spectroscopy at R = 100, appropriate for tomographic mapping experiments. Further modifications are required to reach the background limit for R = 400, ideal for spectroscopy of individual galaxies.					Tucker, Carole/0000-0002-1851-3918; Wheeler, Jordan/0000-0003-1678-5570												0277-786X		978-1-5106-0207-6; 978-1-5106-0208-3				2016	9914		1						UNSP 99143K	10.1117/12.2233798							WOS:000385793800089						
S	Delacroix, C; Savransky, D; Garrett, D; Lowrance, P; Morgan, R		Angeli, GZ; Dierickx, P		Delacroix, Christian; Savransky, Dmitry; Garrett, Daniel; Lowrance, Patrick; Morgan, Rhonda			Science yield modeling with the Exoplanet Open-Source Imaging Mission Simulator (EXOSIMS)	MODELING, SYSTEMS ENGINEERING, AND PROJECT MANAGEMENT FOR ASTRONOMY VII	Proceedings of SPIE				Conference on Modeling, Systems Engineering, and Project Management for Astronomy VII	JUN 26-28, 2016	Edinburgh, SCOTLAND	SPIE				We report on our ongoing development of EXOSIMS and mission simulation results for WFIRST. We present the interface control and the modular structure of the software, along with corresponding prototypes and class definitions for some of the software modules. More specifically, we focus on describing the main steps of our high-fidelity mission simulator EXOSIMS, i.e., the completeness, optical system and zodiacal light modules definition, the target list module filtering, and the creation of a planet population within our simulated universe module. For the latter, we introduce the integration of a recent mass-radius model from the FORECASTER software. We also provide custom modules dedicated to WFIRST using both the Hybrid Lyot Coronagraph (HLC) and the Shaped Pupil Coronagraph (SPC) for detection and characterization, respectively. In that context, we show and discuss the results of some preliminary WFIRST simulations, focusing on comparing different methods of integration time calculation, through ensembles (large numbers) of survey simulations.				Savransky, Dmitry/M-1298-2014	Savransky, Dmitry/0000-0002-8711-7206; Garrett, Daniel/0000-0002-4252-7017; Delacroix, Christian/0000-0003-0150-4430; Lowrance, Patrick/0000-0001-8014-0270												0277-786X		978-1-5106-0201-4; 978-1-5106-0202-1				2016	9911		1						UNSP 991119	10.1117/12.2233913							WOS:000385794000039						
